COG20_CATEGORY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Posttranslational modification, protein turnover, chaperones!!!Cell cycle control, cell division, chromosome partitioning	11.128505217476146	0.0038324438101374043	0.014084847319950775	Large	O!!!D	GC_00071879	0	0	0.0667	151	15	15
Lipid transport and metabolism!!!Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	11.128505217476146	0.0038324438101374043	0.014084847319950775	Large	I!!!I!!!Q!!!I!!!Q	GC_00052693	0	0	0.0667	151	15	15
Cell cycle control, cell division, chromosome partitioning!!!Inorganic ion transport and metabolism!!!Function unknown	11.128505217476146	0.0038324438101374043	0.014084847319950775	Large	D!!!P!!!S	GC_00071382	0	0	0.0667	151	15	15
Secondary metabolites biosynthesis, transport and catabolism!!!Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	11.128505217476146	0.0038324438101374043	0.014084847319950775	Large	Q!!!I!!!Q	GC_00059931	0	0	0.0667	151	15	15
Nucleotide transport and metabolism!!!General function prediction only!!!Coenzyme transport and metabolism	11.128505217476146	0.0038324438101374043	0.014084847319950775	Large	F!!!R!!!H	GC_00069209	0	0	0.0667	151	15	15
Cell wall/membrane/envelope biogenesis!!!Inorganic ion transport and metabolism	11.128505217476146	0.0038324438101374043	0.014084847319950775	Large	M!!!P	GC_00052587	0	0	0.0667	151	15	15
Cell wall/membrane/envelope biogenesis!!!Cell motility!!!Function unknown	11.128505217476146	0.0038324438101374043	0.014084847319950775	Large	M!!!N!!!S	GC_00051682	0	0	0.0667	151	15	15
Coenzyme transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	11.128505217476146	0.0038324438101374043	0.014084847319950775	Large	H!!!Q	GC_00071962	0	0	0.0667	151	15	15
Signal transduction mechanisms!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures!!!Signal transduction mechanisms	11.128505217476087	0.0038324438101375166	0.014084847319950775	Small	T!!!U!!!W!!!T	GC_00054586	0	0.0667	0	151	15	15
Nucleotide transport and metabolism!!!Coenzyme transport and metabolism!!!General function prediction only	11.128505217476087	0.0038324438101375166	0.014084847319950775	Small	F!!!H!!!R	GC_00051022	0	0.0667	0	151	15	15
Defense mechanisms!!!General function prediction only	11.128505217476087	0.0038324438101375166	0.014084847319950775	Small	V!!!R	GC_00067327	0	0.0667	0	151	15	15
Inorganic ion transport and metabolism!!!Signal transduction mechanisms!!!Inorganic ion transport and metabolism	11.128505217476087	0.0038324438101375166	0.014084847319950775	Small	P!!!T!!!P	GC_00061524	0	0.0667	0	151	15	15
Function unknown!!!Posttranslational modification, protein turnover, chaperones	11.128505217476087	0.0038324438101375166	0.014084847319950775	Small	S!!!O	GC_00047655	0	0.0667	0	151	15	15
Secondary metabolites biosynthesis, transport and catabolism!!!Cell wall/membrane/envelope biogenesis	11.128505217476087	0.0038324438101375166	0.014084847319950775	Small	Q!!!M	GC_00041224	0	0.0667	0	151	15	15
Chromatin structure and dynamics	11.128505217476087	0.0038324438101375166	0.014084847319950775	Small	B	GC_00078785	0	0.0667	0	151	15	15
Nucleotide transport and metabolism!!!Inorganic ion transport and metabolism!!!Energy production and conversion	11.128505217476087	0.0038324438101375166	0.014084847319950775	Small	F!!!P!!!C	GC_00052842	0	0.0667	0	151	15	15
General function prediction only!!!Cell wall/membrane/envelope biogenesis!!!Posttranslational modification, protein turnover, chaperones	11.128505217476087	0.0038324438101375166	0.014084847319950775	Small	R!!!M!!!O	GC_00044307	0	0.0667	0	151	15	15
Lipid transport and metabolism!!!Coenzyme transport and metabolism!!!Energy production and conversion	11.128505217476087	0.0038324438101375166	0.014084847319950775	Small	I!!!H!!!C	GC_00038697	0	0.0667	0	151	15	15
Cell wall/membrane/envelope biogenesis!!!Carbohydrate transport and metabolism!!!Cell wall/membrane/envelope biogenesis	11.128505217476087	0.0038324438101375166	0.014084847319950775	Small	M!!!G!!!M	GC_00039418	0	0.0667	0	151	15	15
Carbohydrate transport and metabolism!!!Coenzyme transport and metabolism!!!General function prediction only	11.119437890017199	0.003849858267453212	0.014084847319950775	Large	G!!!H!!!R	GC_00015497, GC_00018479, GC_00021080, GC_00035023, GC_00038119, GC_00041971, GC_00045068, GC_00058343, GC_00078983	0.0861	0	0.3333	151	15	15
Signal transduction mechanisms!!!Signal transduction mechanisms!!!Transcription!!!Signal transduction mechanisms	10.698316787887617	0.004752148754079595	0.01724570112367595	Small, Large	T!!!T!!!K!!!T	GC_00026134, GC_00029667, GC_00031865, GC_00032317, GC_00039584, GC_00072918, GC_00073359, GC_00075039	0.0464	0.0667	0.2667	151	15	15
Posttranslational modification, protein turnover, chaperones!!!Inorganic ion transport and metabolism	10.179281530507119	0.006160232459274235	0.022176836853387248	Small, Large	O!!!P	GC_00049939, GC_00050224	0	0.0667	0.0667	151	15	15
Carbohydrate transport and metabolism!!!Nucleotide transport and metabolism	9.919100451996496	0.007016082774652959	0.02486013581569946	Small, Large	G!!!F	GC_00032757, GC_00035587, GC_00050331, GC_00052160, GC_00055518, GC_00077797	0.0265	0.0667	0.2	151	15	15
Cell cycle control, cell division, chromosome partitioning!!!General function prediction only!!!Secondary metabolites biosynthesis, transport and catabolism	9.919100451996496	0.007016082774652959	0.02486013581569946	Small, Large	D!!!R!!!Q	GC_00022424, GC_00026308, GC_00031473, GC_00036297, GC_00036768	0.0265	0.2	0.0667	151	15	15
Defense mechanisms!!!Cell wall/membrane/envelope biogenesis	9.499500619652668	0.008653855716116614	0.030423711501972473	Small, Large	V!!!M	GC_00011614, GC_00014405	0.0795	0.1333	0.3333	151	15	15
